Date,0
2002-07-01,483.1092861145735
2002-07-02,478.91303013265133
2002-07-03,479.8973807543516
2002-07-04,479.91750724613667
2002-07-05,485.0598411858082
2002-07-08,490.70066894590855
2002-07-09,487.19165728986263
2002-07-10,482.81843212246895
2002-07-11,481.5845143198967
2002-07-12,481.9590750038624
2002-07-15,477.9975254535675
2002-07-16,472.21886041760445
2002-07-17,466.3709002584219
2002-07-18,469.8828690946102
2002-07-19,469.239993095398
2002-07-22,463.3419396430254
2002-07-23,465.12167513370514
2002-07-24,459.7312850058079
2002-07-25,460.88953249156475
2002-07-26,447.9394166022539
2002-07-29,445.4434782862663
2002-07-30,441.93102449178696
2002-07-31,441.8580843061209
2002-08-01,440.71985456347466
2002-08-02,441.33773659169674
2002-08-05,444.79279531538486
2002-08-06,445.89762638509274
2002-08-07,443.0024104565382
2002-08-08,438.77069325745106
2002-08-09,440.901116669178
2002-08-12,854.425716727972
2002-08-13,861.1105868965387
2002-08-14,855.9312221854925
2002-08-15,807.1152222007513
2002-08-16,866.069663926959
2002-08-19,862.6062758266926
2002-08-20,867.4894257932901
2002-08-21,872.217850714922
2002-08-22,867.9138894975185
2002-08-23,874.8267198204994
2002-08-26,875.5147746950388
2002-08-27,872.5403727442026
2002-08-28,871.9554287344217
2002-08-29,875.0830926448107
2002-08-30,885.7173068672419
2002-09-02,890.2127167880535
2002-09-03,882.1842457354069
2002-09-04,886.0913274586201
2002-09-05,891.541855096817
2002-09-06,877.6696710288525
2002-09-09,874.7305099666119
2002-09-10,827.2297107875347
2002-09-11,882.6752981692553
2002-09-12,885.474657818675
2002-09-13,875.3800109922886
2002-09-16,874.3965817391872
2002-09-17,878.6553948819637
2002-09-18,872.2635115087032
2002-09-19,863.786566093564
2002-09-20,861.0089849829674
2002-09-23,856.9110867828131
2002-09-24,857.6894440501928
2002-09-25,856.6234319061041
2002-09-26,856.7901979535818
2002-09-27,860.3268001973629
2002-09-30,850.9300067126751
2002-10-01,844.8999918550253
2002-10-02,796.4519909471273
2002-10-03,847.1473726034164
2002-10-04,848.9690349698067
2002-10-07,848.7042589634657
2002-10-08,852.7045687735081
2002-10-09,847.7763725072145
2002-10-10,851.4205882400274
2002-10-11,854.8389119207859
2002-10-14,856.6518907099962
2002-10-15,807.275889351964
2002-10-16,859.4161434620619
2002-10-17,857.5107546150684
2002-10-18,861.830208837986
2002-10-21,861.4565285593271
2002-10-22,852.2334706485271
2002-10-23,842.4523916393518
2002-10-24,832.2700168639421
2002-10-25,835.339122518897
2002-10-28,830.6308847218752
2002-10-29,824.671024158597
2002-10-30,827.0014473050833
2002-10-31,826.4337885081768
2002-11-01,830.6161888092756
2002-11-04,843.3581635504961
2002-11-05,841.1199241131544
