Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,15.744443893432617,15.0,15.422222137451172,15.744443893432617,25322175.0,9.736568450927734
2000-01-04,16.200000762939453,15.428888320922852,15.866665840148926,15.829999923706055,32068665.0,9.789478302001953
2000-01-05,16.864444732666016,14.666666030883789,15.916666030883789,16.13777732849121,62196705.0,9.979812622070312
2000-01-06,17.42888832092285,16.466665267944336,16.466665267944336,17.42888832092285,32472810.0,10.778251647949219
2000-01-07,18.823333740234375,18.311111450195312,18.497777938842773,18.823333740234375,10404405.0,11.640597343444824
2000-01-10,20.329999923706055,19.44444465637207,20.247777938842773,20.329999923706055,54891810.0,12.572339057922363
2000-01-11,21.155555725097656,19.246665954589844,20.044443130493164,19.63777732849121,106926930.0,12.144256591796875
2000-01-12,20.53333282470703,19.34000015258789,20.11111068725586,19.741111755371094,27736470.0,12.208159446716309
2000-01-13,20.799999237060547,19.355554580688477,20.0,19.549999237060547,30018285.0,12.089974403381348
2000-01-14,20.08222198486328,19.182222366333008,19.553333282470703,19.72333335876465,25892145.0,12.197166442871094
2000-01-17,20.110000610351562,18.14555549621582,20.110000610351562,18.163333892822266,79375635.0,11.232440948486328
2000-01-18,18.44444465637207,17.688888549804688,17.91111183166504,18.252222061157227,36333945.0,11.2874116897583
2000-01-19,18.844444274902344,17.799999237060547,18.44444465637207,18.357776641845703,19189800.0,11.352685928344727
2000-01-20,18.44444465637207,17.304443359375,18.44444465637207,17.468887329101562,21826980.0,10.802987098693848
2000-01-21,18.79777717590332,17.44444465637207,17.44444465637207,18.4788875579834,54041490.0,11.427584648132324
2000-01-24,19.066665649414062,17.388887405395508,18.577777862548828,17.610000610351562,69614775.0,10.890252113342285
2000-01-25,17.333332061767578,16.20111083984375,17.333332061767578,16.212221145629883,55845675.0,10.025847434997559
2000-01-26,16.212221145629883,16.212221145629883,16.212221145629883,16.212221145629883,0.0,10.025847434997559
2000-01-27,17.510000228881836,15.11111068725586,16.688888549804688,17.307777404785156,84060675.0,10.703354835510254
